# FICTIONAL ROSTER - TRAINING ONLY
name,post
Hjh Norhayati binti Hj Ismail,Senior Administrative Officer
Muhammad Faiz bin Osman,ICT Officer
Dk Siti Aminah binti Pg Rahman,Finance Officer
Nurul Huda binti Abdullah,Programme Assistant
Hj Zainal bin Hj Mohammad,Logistics Officer
Amal Syafiqah binti Salleh,Research Assistant
Mohd Hafiz bin Jumat,Training Coordinator
Rabiatul Adawiyah binti Musa,Clerk
Ak Ibrahim bin Pg Yusof,Outreach Officer
Siti Zubaidah binti Awang,Enumerator Supervisor
Hjh Mariam binti Hj Bakar,Accounts Clerk
Izzat Danial bin Roslan,Driver
